area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,purpose,city,locality,relaxation_amenity_count,security_amenity_count,maintenance_or_cleaning_amenity_count,social_amenity_count,expendable_amenity_count,service_staff_amenity_count,unclassify_amenity_count
1395.0,Apartment,Residential,3.0,3.0,11500000.0,Sale,Dhaka,Banasree,0,0,3,0,4,0,3
2050.0,Apartment,Residential,3.0,3.0,8200000.0,Sale,Dhaka,Bashabo,0,1,2,0,2,0,3
1320.0,Apartment,Residential,3.0,3.0,10500000.0,Sale,Dhaka,Motijheel,0,1,0,0,4,0,4
1450.0,Apartment,Residential,3.0,3.0,9500000.0,Sale,Dhaka,Mirpur,0,1,0,0,1,0,3
1100.0,Apartment,Residential,2.0,3.0,8050000.0,Sale,Dhaka,Maghbazar,0,2,2,0,5,0,3
1263.0,Apartment,Residential,3.0,3.0,7800000.0,Sale,Dhaka,Badda,0,0,0,0,2,0,2
1865.0,Apartment,Residential,4.0,4.0,21500000.0,Sale,Dhaka,Shiddheswari,0,2,1,0,3,0,4
1090.0,Apartment,Residential,2.0,3.0,8000000.0,Sale,Dhaka,Shahjahanpur,0,1,0,0,1,0,3
1650.0,Apartment,Residential,4.0,3.0,13200000.0,Sale,Dhaka,Maghbazar,0,2,2,0,4,0,3
1150.0,Apartment,Residential,3.0,3.0,7700000.0,Sale,Dhaka,Malibagh,0,0,1,0,2,0,3
1194.0,Apartment,Residential,3.0,3.0,8800000.0,Sale,Dhaka,Badda,0,1,3,0,4,0,4
2000.0,Apartment,Residential,5.0,3.0,16500000.0,Sale,Dhaka,Aftab Nagar,0,0,2,0,1,0,4
1342.0,Apartment,Residential,3.0,3.0,7200000.0,Sale,Dhaka,Badda,0,0,3,0,4,0,3
950.0,Apartment,Residential,3.0,3.0,4500000.0,Sale,Dhaka,Dakshin Khan,0,2,3,0,2,0,3
1850.0,Apartment,Residential,4.0,4.0,17500000.0,Sale,Dhaka,Bashundhara R-A,0,1,2,0,3,0,3
3400.0,Apartment,Residential,6.0,6.0,23500000.0,Sale,Dhaka,Uttara,0,1,2,0,3,0,4
1560.0,Apartment,Residential,4.0,4.0,11200000.000000002,Sale,Dhaka,Malibagh,0,1,2,0,3,0,4
1100.0,Apartment,Residential,3.0,3.0,5300000.0,Sale,Dhaka,Badda,0,1,2,1,4,0,3
1150.0,Apartment,Residential,3.0,3.0,6800000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
2282.0,Apartment,Residential,3.0,4.0,22000000.0,Sale,Dhaka,Bashundhara R-A,0,2,2,0,3,0,5
1300.0,Apartment,Residential,3.0,3.0,9500000.0,Sale,Dhaka,Mirpur,0,1,1,0,4,0,5
700.0,Apartment,Residential,2.0,2.0,3800000.0,Sale,Dhaka,Adabor,0,0,2,0,1,0,4
950.0,Apartment,Residential,2.0,2.0,5000000.0,Sale,Dhaka,Dakshin Khan,0,2,1,0,2,0,3
1517.0,Apartment,Residential,4.0,3.0,12500000.0,Sale,Dhaka,Uttara,0,2,3,0,3,0,4
1050.0,Apartment,Residential,2.0,3.0,5400000.0,Sale,Dhaka,Dakshin Khan,0,1,0,0,1,0,3
1170.0,Apartment,Residential,2.0,2.0,10500000.0,Sale,Dhaka,Shiddheswari,0,0,2,0,4,0,3
1800.0,Apartment,Residential,3.0,3.0,19000000.0,Sale,Dhaka,Bashundhara R-A,0,0,1,0,3,0,3
1460.0,Apartment,Residential,3.0,3.0,13000000.0,Sale,Dhaka,New Market,0,2,2,1,4,0,4
950.0,Apartment,Residential,2.0,3.0,6000000.0,Sale,Dhaka,Malibagh,0,2,2,0,3,0,4
1170.0,Apartment,Residential,2.0,2.0,10500000.0,Sale,Dhaka,Shiddheswari,0,0,2,0,4,0,3
950.0,Apartment,Residential,2.0,3.0,5200000.0,Sale,Dhaka,Mirpur,0,0,1,0,2,0,4
1100.0,Apartment,Residential,3.0,3.0,6500000.0,Sale,Dhaka,Khilgaon,0,0,2,0,2,0,3
1150.0,Apartment,Residential,2.0,3.0,6500000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
700.0,Apartment,Residential,2.0,2.0,4700000.0,Sale,Dhaka,Mohammadpur,0,0,2,1,3,0,4
850.0,Apartment,Residential,2.0,3.0,5500000.0,Sale,Dhaka,Mirpur,0,0,2,0,3,0,3
830.0,Apartment,Residential,2.0,2.0,4200000.0,Sale,Dhaka,Mirpur,0,0,2,0,0,0,4
1370.0,Apartment,Residential,3.0,3.0,11000000.0,Sale,Dhaka,Mirpur,0,0,1,0,2,0,4
1600.0,Apartment,Residential,3.0,3.0,14500000.0,Sale,Dhaka,Bashundhara R-A,0,1,2,0,2,0,3
1212.0,Apartment,Residential,3.0,3.0,7000000.0,Sale,Chattogram,Uttar Lalkhan,0,1,0,0,1,0,3
1100.0,Apartment,Residential,3.0,3.0,6500000.0,Sale,Dhaka,Khilgaon,0,0,2,0,2,0,3
800.0,Apartment,Residential,2.0,2.0,10000000.0,Sale,Dhaka,Badda,0,1,2,0,4,0,4
2200.0,Apartment,Residential,5.0,5.0,21000000.0,Sale,Dhaka,Mirpur,0,2,3,0,3,0,4
820.0,Apartment,Residential,2.0,2.0,5000000.0,Sale,Dhaka,Mirpur,0,2,2,0,2,0,4
1050.0,Apartment,Residential,3.0,3.0,4600000.0,Sale,Dhaka,Dakshin Khan,0,2,3,0,2,0,4
1290.0,Apartment,Residential,3.0,3.0,6000000.0,Sale,Dhaka,Demra,0,1,2,1,2,0,3
1290.0,Apartment,Residential,3.0,3.0,6000000.0,Sale,Dhaka,Demra,0,1,2,1,2,0,3
